sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-03	2	3	1	67	10	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim067_2_3_3_2.obj	polycubes_stim067_2_3_3_2.obj	ordered	True	500	-0.1699916273355484	-0.1174322441220283	0.3360659480094909
sub-03	2	3	2	92	11	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim092_2_2_4_3.obj	polycubes_stim092_2_2_4_3.obj	ordered	True	500	0.4570870399475097	-0.3705730736255646	0.0669825077056884
sub-03	2	3	3	8	9	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim008_2_2_3_2.obj	polycubes_stim008_2_2_3_2.obj	ordered	True	500	0.0716556161642074	0.3407922983169555	-0.5536088347434998
sub-03	2	3	4	87	9	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim087_2_3_2_2.obj	polycubes_stim087_2_3_2_2.obj	ordered	True	500	-0.0162021331489086	0.0973841324448585	-0.1215198561549186
sub-03	2	3	5	74	10	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim074_3_2_2_3.obj	polycubes_stim074_3_2_2_3.obj	ordered	True	500	-0.3573908805847168	0.1864710748195648	0.0936809331178665
sub-03	2	3	6	70	11	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim070_2_3_4_2.obj	polycubes_stim070_2_3_4_2.obj	ordered	True	500	0.253402829170227	0.1803537905216217	-0.5084616541862488
sub-03	2	3	7	51	11	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim051_3_3_3_2.obj	polycubes_stim051_3_3_3_2.obj	ordered	True	500	-0.4960487484931946	0.3255719244480133	0.0356204509735107
sub-03	2	3	8	109	11	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim109_3_4_2_2.obj	polycubes_stim109_3_4_2_2.obj	ordered	True	500	-0.1488200426101684	0.2489512264728546	-0.2032502293586731
sub-03	2	3	9	192	12	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim192_4_4_2_2.obj	polycubes_stim192_4_4_2_2.obj	ordered	True	500	-0.5281376838684082	0.5874032974243164	-0.3025761544704437
sub-03	2	3	10	186	12	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-03	2	3	11	51	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim051_3_3_3_2.obj	polycubes_stim051_3_3_3_2.obj	ordered	True	500	-0.4960487484931946	0.3255719244480133	0.0356204509735107
sub-03	2	3	12	92	11	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim092_2_2_4_3.obj	polycubes_stim092_2_2_4_3.obj	ordered	True	500	0.4570870399475097	-0.3705730736255646	0.0669825077056884
sub-03	2	3	13	75	11	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim075_2_3_3_3.obj	polycubes_stim075_2_3_3_3.obj	ordered	True	500	-0.1507512032985687	-0.3208411931991577	0.604489266872406
sub-03	2	3	14	87	9	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim087_2_3_2_2.obj	polycubes_stim087_2_3_2_2.obj	ordered	True	500	-0.0162021331489086	0.0973841324448585	-0.1215198561549186
sub-03	2	3	15	192	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim192_4_4_2_2.obj	polycubes_stim192_4_4_2_2.obj	ordered	True	500	-0.5281376838684082	0.5874032974243164	-0.3025761544704437
sub-03	2	3	16	140	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim140_4_2_3_3.obj	polycubes_stim140_4_2_3_3.obj	ordered	True	500	-0.4416289925575256	-0.1876648068428039	0.7070271968841553
sub-03	2	3	17	88	11	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim088_4_2_2_3.obj	polycubes_stim088_4_2_2_3.obj	ordered	True	500	-0.1998616009950637	0.0055743181146681	0.1919783353805542
sub-03	2	3	18	189	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim189_2_4_3_2.obj	polycubes_stim189_2_4_3_2.obj	ordered	True	500	0.8328994512557983	-0.6260904669761658	0.0525263547897338
sub-03	2	3	19	67	10	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim067_2_3_3_2.obj	polycubes_stim067_2_3_3_2.obj	ordered	True	500	-0.1699916273355484	-0.1174322441220283	0.3360659480094909
sub-03	2	3	20	17	10	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim017_2_3_3_2.obj	polycubes_stim017_2_3_3_2.obj	ordered	True	500	0.1207334697246551	-0.0313727967441082	-0.0763656347990036
sub-03	2	3	21	151	12	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim151_3_4_3_2.obj	polycubes_stim151_3_4_3_2.obj	ordered	True	500	-0.5611218810081482	0.0929202288389206	0.4297128319740295
sub-03	2	3	22	19	9	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim019_2_2_3_2.obj	polycubes_stim019_2_2_3_2.obj	ordered	True	500	-0.0426199808716774	0.2212005108594894	-0.2702048420906067
sub-03	2	3	23	149	12	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim149_2_4_4_2.obj	polycubes_stim149_2_4_4_2.obj	ordered	True	500	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-03	2	3	24	72	11	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim072_3_4_2_2.obj	polycubes_stim072_3_4_2_2.obj	ordered	True	500	0.5510143637657166	0.0584829151630401	-0.6337217092514038
sub-03	2	3	25	149	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim149_2_4_4_2.obj	polycubes_stim149_2_4_4_2.obj	ordered	True	500	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-03	2	3	26	71	9	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim071_2_2_2_3.obj	polycubes_stim071_2_2_2_3.obj	ordered	True	500	0.4834429025650024	-0.4838185906410217	0.2007800191640854
sub-03	2	3	27	189	11	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim189_2_4_3_2.obj	polycubes_stim189_2_4_3_2.obj	ordered	True	500	0.8328994512557983	-0.6260904669761658	0.0525263547897338
sub-03	2	3	28	112	11	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim112_2_2_3_4.obj	polycubes_stim112_2_2_3_4.obj	ordered	True	500	0.7476732730865479	-0.6510570645332336	0.1730605661869049
sub-03	2	3	29	208	12	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim208_2_4_2_4.obj	polycubes_stim208_2_4_2_4.obj	ordered	True	500	-0.1090655624866485	0.848214864730835	-1.0904916524887085
sub-03	2	3	30	67	10	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim067_2_3_3_2.obj	polycubes_stim067_2_3_3_2.obj	ordered	True	500	-0.1699916273355484	-0.1174322441220283	0.3360659480094909
sub-03	2	3	31	208	12	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim208_2_4_2_4.obj	polycubes_stim208_2_4_2_4.obj	ordered	True	500	-0.1090655624866485	0.848214864730835	-1.0904916524887085
sub-03	2	3	32	149	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim149_2_4_4_2.obj	polycubes_stim149_2_4_4_2.obj	ordered	True	500	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-03	2	3	33	112	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim112_2_2_3_4.obj	polycubes_stim112_2_2_3_4.obj	ordered	True	500	0.7476732730865479	-0.6510570645332336	0.1730605661869049
sub-03	2	3	34	19	9	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim019_2_2_3_2.obj	polycubes_stim019_2_2_3_2.obj	ordered	True	500	-0.0426199808716774	0.2212005108594894	-0.2702048420906067
sub-03	2	3	35	148	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	277000	285000	False	0	1	polycubes_stim148_2_4_2_3.obj	polycubes_stim148_2_4_2_3.obj	ordered	True	500	0.2289154827594757	-0.7697283625602722	0.8596450090408325
sub-03	2	3	36	210	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	285000	293000	False	0	1	polycubes_stim210_2_3_3_3.obj	polycubes_stim210_2_3_3_3.obj	ordered	True	500	0.0803716778755188	-0.6903956532478333	0.8959954977035522
sub-03	2	3	37	42	10	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	293000	301000	False	0	1	polycubes_stim042_2_3_3_2.obj	polycubes_stim042_2_3_3_2.obj	ordered	True	500	0.012475848197937	-0.1577228605747223	0.2105779945850372
sub-03	2	3	38	187	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	301000	309000	False	0	1	polycubes_stim187_2_4_2_4.obj	polycubes_stim187_2_4_2_4.obj	ordered	True	500	-0.0066727846860885	0.2543078064918518	-0.3529728651046753
sub-03	2	3	39	148	11	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	309000	317000	False	0	1	polycubes_stim148_2_4_2_3.obj	polycubes_stim148_2_4_2_3.obj	ordered	True	500	0.2289154827594757	-0.7697283625602722	0.8596450090408325
sub-03	2	3	40	49	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	317000	325000	True	5000	1	polycubes_stim049_4_2_2_3.obj	polycubes_stim049_4_2_2_3.obj	ordered	True	500	0.7898233532905579	0.0321832373738288	-0.8353374004364014
sub-03	2	3	41	51	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	330000	338000	False	0	1	polycubes_stim051_3_3_3_2.obj	polycubes_stim051_3_3_3_2.obj	ordered	True	500	-0.4960487484931946	0.3255719244480133	0.0356204509735107
sub-03	2	3	42	206	12	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	338000	346000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
sub-03	2	3	43	92	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	346000	354000	False	0	1	polycubes_stim092_2_2_4_3.obj	polycubes_stim092_2_2_4_3.obj	ordered	True	500	0.4570870399475097	-0.3705730736255646	0.0669825077056884
sub-03	2	3	44	132	12	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	354000	362000	False	0	1	polycubes_stim132_3_2_3_4.obj	polycubes_stim132_3_2_3_4.obj	ordered	True	500	0.6378264427185059	-0.572300374507904	0.1715286374092102
sub-03	2	3	45	14	10	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	362000	370000	False	0	1	polycubes_stim014_2_2_4_2.obj	polycubes_stim014_2_2_4_2.obj	ordered	True	500	0.2514331936836242	-0.040862962603569	-0.1936442255973816
sub-03	2	3	46	206	12	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	370000	378000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
sub-03	2	3	47	101	11	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	378000	386000	False	0	1	polycubes_stim101_4_2_3_2.obj	polycubes_stim101_4_2_3_2.obj	ordered	True	500	-0.373089849948883	0.1205704510211944	0.2025774717330932
sub-03	2	3	48	185	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	386000	394000	False	0	1	polycubes_stim185_2_4_3_3.obj	polycubes_stim185_2_4_3_3.obj	ordered	True	500	0.5964540243148804	-0.1956858485937118	-0.3197124004364013
sub-03	2	3	49	206	12	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	394000	402000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
sub-03	2	3	50	187	12	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	402000	410000	False	0	1	polycubes_stim187_2_4_2_4.obj	polycubes_stim187_2_4_2_4.obj	ordered	True	500	-0.0066727846860885	0.2543078064918518	-0.3529728651046753
sub-03	2	3	51	200	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	410000	418000	False	0	1	polycubes_stim200_2_3_4_3.obj	polycubes_stim200_2_3_4_3.obj	ordered	True	500	0.5908525586128235	0.017803817987442	-0.6160310506820679
sub-03	2	3	52	47	10	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	418000	426000	False	0	1	polycubes_stim047_3_2_3_2.obj	polycubes_stim047_3_2_3_2.obj	ordered	True	500	-0.1685122549533844	-0.1653514802455902	0.4023546278476715
sub-03	2	3	53	42	10	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	426000	434000	False	0	1	polycubes_stim042_2_3_3_2.obj	polycubes_stim042_2_3_3_2.obj	ordered	True	500	0.012475848197937	-0.1577228605747223	0.2105779945850372
sub-03	2	3	54	128	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	434000	442000	False	0	1	polycubes_stim128_4_4_2_2.obj	polycubes_stim128_4_4_2_2.obj	ordered	True	500	-0.2279359847307205	-0.1800999194383621	0.4826357960700989
sub-03	2	3	55	75	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	442000	450000	False	0	1	polycubes_stim075_2_3_3_3.obj	polycubes_stim075_2_3_3_3.obj	ordered	True	500	-0.1507512032985687	-0.3208411931991577	0.604489266872406
sub-03	2	3	56	210	11	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	450000	458000	False	0	1	polycubes_stim210_2_3_3_3.obj	polycubes_stim210_2_3_3_3.obj	ordered	True	500	0.0803716778755188	-0.6903956532478333	0.8959954977035522
sub-03	2	3	57	159	12	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	458000	466000	False	0	1	polycubes_stim159_2_3_4_3.obj	polycubes_stim159_2_3_4_3.obj	ordered	True	500	-0.2200651466846466	0.0915115922689437	0.090648166835308
sub-03	2	3	58	78	9	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	466000	474000	False	0	1	polycubes_stim078_2_3_2_2.obj	polycubes_stim078_2_3_2_2.obj	ordered	True	500	0.579243540763855	-0.4409858584403991	0.0444046854972839
sub-03	2	3	59	88	11	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	474000	482000	False	0	1	polycubes_stim088_4_2_2_3.obj	polycubes_stim088_4_2_2_3.obj	ordered	True	500	-0.1998616009950637	0.0055743181146681	0.1919783353805542
sub-03	2	3	60	8	9	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	482000	490000	True	5000	1	polycubes_stim008_2_2_3_2.obj	polycubes_stim008_2_2_3_2.obj	ordered	True	500	0.0716556161642074	0.3407922983169555	-0.5536088347434998
sub-03	2	3	61	58	10	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	495000	503000	False	0	1	polycubes_stim058_2_4_2_2.obj	polycubes_stim058_2_4_2_2.obj	ordered	True	500	-0.1029457747936248	0.1168616861104965	-0.0623216293752193
sub-03	2	3	62	62	10	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	503000	511000	False	0	1	polycubes_stim062_2_4_2_2.obj	polycubes_stim062_2_4_2_2.obj	ordered	True	500	0.188808798789978	-0.0553459823131561	-0.1105377525091171
sub-03	2	3	63	148	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	511000	519000	False	0	1	polycubes_stim148_2_4_2_3.obj	polycubes_stim148_2_4_2_3.obj	ordered	True	500	0.2289154827594757	-0.7697283625602722	0.8596450090408325
sub-03	2	3	64	92	11	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	519000	527000	False	0	1	polycubes_stim092_2_2_4_3.obj	polycubes_stim092_2_2_4_3.obj	ordered	True	500	0.4570870399475097	-0.3705730736255646	0.0669825077056884
