sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	3	1	11	11	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	True	500
sub-01	1	3	2	149	11	trained_shared	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim149_2_4_3_2.obj	polycubes_stim149_2_4_3_2.obj	ordered	True	500
sub-01	1	3	3	37	10	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim37_2_2_4_2.obj	polycubes_stim37_2_2_4_2.obj	ordered	True	500
sub-01	1	3	4	65	10	trained_shared	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim65_2_2_4_2.obj	polycubes_stim65_2_2_4_2.obj	ordered	True	500
sub-01	1	3	5	149	11	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim149_2_4_3_2.obj	polycubes_stim149_2_4_3_2.obj	ordered	True	500
sub-01	1	3	6	95	12	trained_shared	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim95_2_4_2_4.obj	polycubes_stim95_2_4_2_4.obj	ordered	True	500
sub-01	1	3	7	26	10	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim26_2_4_2_2.obj	polycubes_stim26_2_4_2_2.obj	ordered	True	500
sub-01	1	3	8	192	12	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim192_2_4_3_3.obj	polycubes_stim192_2_4_3_3.obj	ordered	True	500
sub-01	1	3	9	54	10	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim54_4_2_2_2.obj	polycubes_stim54_4_2_2_2.obj	ordered	True	500
sub-01	1	3	10	29	12	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim29_3_2_3_4.obj	polycubes_stim29_3_2_3_4.obj	ordered	True	500
sub-01	1	3	11	4	10	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim4_2_2_2_4.obj	polycubes_stim4_2_2_2_4.obj	ordered	True	500
sub-01	1	3	12	37	10	training_only	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim37_2_2_4_2.obj	polycubes_stim37_2_2_4_2.obj	ordered	True	500
sub-01	1	3	13	21	10	trained_shared	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim21_3_2_2_3.obj	polycubes_stim21_3_2_2_3.obj	ordered	True	500
sub-01	1	3	14	53	10	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim53_3_3_2_2.obj	polycubes_stim53_3_3_2_2.obj	ordered	True	500
sub-01	1	3	15	72	11	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim72_2_2_4_3.obj	polycubes_stim72_2_2_4_3.obj	ordered	True	500
sub-01	1	3	16	86	12	trained_shared	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim86_3_2_3_4.obj	polycubes_stim86_3_2_3_4.obj	ordered	True	500
sub-01	1	3	17	26	10	training_only	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim26_2_4_2_2.obj	polycubes_stim26_2_4_2_2.obj	ordered	True	500
sub-01	1	3	18	23	12	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim23_3_4_3_2.obj	polycubes_stim23_3_4_3_2.obj	ordered	True	500
sub-01	1	3	19	139	11	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim139_2_4_3_2.obj	polycubes_stim139_2_4_3_2.obj	ordered	True	500
sub-01	1	3	20	151	12	training_only	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim151_4_3_3_2.obj	polycubes_stim151_4_3_3_2.obj	ordered	True	500
sub-01	1	3	21	154	12	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim154_4_3_3_2.obj	polycubes_stim154_4_3_3_2.obj	ordered	True	500
sub-01	1	3	22	82	10	trained_shared	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim82_2_2_4_2.obj	polycubes_stim82_2_2_4_2.obj	ordered	True	500
sub-01	1	3	23	70	11	trained_shared	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim70_3_3_3_2.obj	polycubes_stim70_3_3_3_2.obj	ordered	True	500
sub-01	1	3	24	56	10	trained_shared	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim56_2_4_2_2.obj	polycubes_stim56_2_4_2_2.obj	ordered	True	500
sub-01	1	3	25	199	12	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim199_2_3_3_4.obj	polycubes_stim199_2_3_3_4.obj	ordered	True	500
sub-01	1	3	26	7	10	trained_shared	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim7_3_2_3_2.obj	polycubes_stim7_3_2_3_2.obj	ordered	True	500
