sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-98	2	4	1	216	12	trained	active_vis	late	30	0	180	305	125	125	1	mirror	6000	3000	1000	500	11000	0	11000	False	0	1	polycubes_stim216_3_2_3_4.obj	polycubes_stim216_3_2_3_4.obj	ordered	True	500	0.4732248187065124	0.155476838350296	-0.6931023597717285
sub-98	2	4	2	45	9	trained	active_vis	late	30	0	180	55	125	-125	-1	same	6000	3000	1000	500	11000	11000	22000	False	0	1	polycubes_stim045_2_2_2_3.obj	polycubes_stim045_2_2_2_3.obj	ordered	True	500	-0.1312236040830612	-0.0674304589629173	0.2265846878290176
sub-98	2	4	3	123	11	trained	active_vis	late	30	0	180	305	125	125	1	mirror	6000	3000	1000	500	11000	22000	33000	False	0	1	polycubes_stim123_3_2_2_4.obj	polycubes_stim123_3_2_2_4.obj	ordered	True	500	-0.1112136095762252	-0.0553955771028995	0.1895547956228256
sub-98	2	4	4	38	10	trained	active_vis	late	30	0	180	305	125	125	1	mirror	6000	3000	1000	500	11000	33000	44000	False	0	1	polycubes_stim038_3_2_2_3.obj	polycubes_stim038_3_2_2_3.obj	ordered	True	500	-0.1652598679065704	-0.1828604638576507	0.4238636791706085
sub-98	2	4	5	22	10	trained	active_vis	late	30	0	180	305	125	125	1	mirror	6000	3000	1000	500	11000	44000	55000	False	0	1	polycubes_stim022_2_2_4_2.obj	polycubes_stim022_2_2_4_2.obj	ordered	True	500	-0.2394558787345886	0.4732030928134918	-0.4297544956207275
sub-98	2	4	6	182	11	trained	active_vis	late	30	0	180	55	125	-125	-1	same	6000	3000	1000	500	11000	55000	66000	False	0	1	polycubes_stim182_2_3_3_3.obj	polycubes_stim182_2_3_3_3.obj	ordered	True	500	-0.129921555519104	0.5251925587654114	-0.6128131151199341
sub-98	2	4	7	47	10	trained	active_vis	late	30	0	180	55	125	-125	-1	mirror	6000	3000	1000	500	11000	66000	77000	False	0	1	polycubes_stim047_3_2_3_2.obj	polycubes_stim047_3_2_3_2.obj	ordered	True	500	-0.1685122549533844	-0.1653514802455902	0.4023546278476715
sub-98	2	4	8	58	10	trained	active_vis	late	30	0	180	55	125	-125	-1	mirror	6000	3000	1000	500	11000	77000	88000	False	0	1	polycubes_stim058_2_4_2_2.obj	polycubes_stim058_2_4_2_2.obj	ordered	True	500	-0.1029457747936248	0.1168616861104965	-0.0623216293752193
sub-98	2	4	9	216	12	trained	active_vis	late	30	0	180	55	125	-125	-1	same	6000	3000	1000	500	11000	88000	99000	False	0	1	polycubes_stim216_3_2_3_4.obj	polycubes_stim216_3_2_3_4.obj	ordered	True	500	0.4732248187065124	0.155476838350296	-0.6931023597717285
sub-98	2	4	10	180	11	trained	active_vis	late	30	0	180	305	125	125	1	same	6000	3000	1000	500	11000	99000	110000	False	0	1	polycubes_stim180_2_3_4_2.obj	polycubes_stim180_2_3_4_2.obj	ordered	True	500	0.1320619583129882	-0.2104934453964233	0.1656207740306854
