sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	response_window_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-96	1	4	1	116	12	novel_3	passive	none	0	0	0	150	150	1	mirror	3000	3000	0	1000	500	8000	0	8000	False	0	1	polycubes_stim116_3_3_4_2.obj	polycubes_stim116_3_3_4_2.obj	ordered	True	500	0.4728405177593231	-0.4947326481342315	0.2268172204494476
sub-96	1	4	2	114	12	novel_3	passive	none	0	0	0	150	-150	-1	mirror	3000	3000	0	1000	500	8000	8000	16000	False	0	1	polycubes_stim114_2_4_3_3.obj	polycubes_stim114_2_4_3_3.obj	ordered	True	500	0.3063069581985473	-0.4942117929458618	0.3926141858100891
sub-96	1	4	3	145	12	trained	passive	none	0	0	0	100	100	1	mirror	3000	3000	0	1000	500	8000	16000	24000	False	0	1	polycubes_stim145_2_3_3_4.obj	polycubes_stim145_2_3_3_4.obj	ordered	True	500	0.957783341407776	-0.920374870300293	0.343823492527008
sub-96	1	4	4	60	11	trained	passive	none	0	0	0	0	0	0	mirror	3000	3000	0	1000	500	8000	24000	32000	False	0	1	polycubes_stim060_3_2_3_3.obj	polycubes_stim060_3_2_3_3.obj	ordered	True	500	0.0935092717409133	0.2051420658826828	-0.3836240172386169
sub-96	1	4	5	74	10	trained	passive	none	0	0	0	0	0	0	same	3000	3000	0	1000	500	8000	32000	40000	False	0	1	polycubes_stim074_3_2_2_3.obj	polycubes_stim074_3_2_2_3.obj	ordered	True	500	-0.3573908805847168	0.1864710748195648	0.0936809331178665
sub-96	1	4	6	177	12	trained	passive	none	0	0	0	50	-50	-1	same	3000	3000	0	1000	500	8000	40000	48000	False	0	1	polycubes_stim177_2_3_3_4.obj	polycubes_stim177_2_3_3_4.obj	ordered	True	500	0.2456217408180236	-0.8103868365287781	0.9004385471343994
sub-96	1	4	7	107	11	trained	passive	none	0	0	0	100	100	1	same	3000	3000	0	1000	500	8000	48000	56000	False	0	1	polycubes_stim107_2_3_2_4.obj	polycubes_stim107_2_3_2_4.obj	ordered	True	500	0.0358203947544097	-0.2840807437896728	0.3659305572509765
sub-96	1	4	8	195	12	trained	passive	none	0	0	0	150	-150	-1	same	3000	3000	0	1000	500	8000	56000	64000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500	0.0458908677101135	0.6291270852088928	-0.935611128807068
sub-96	1	4	9	45	9	novel_3	passive	none	0	0	0	150	150	1	mirror	3000	3000	0	1000	500	8000	64000	72000	False	0	1	polycubes_stim045_2_2_2_3.obj	polycubes_stim045_2_2_2_3.obj	ordered	True	500	-0.1312236040830612	-0.0674304589629173	0.2265846878290176
sub-96	1	4	10	2	9	novel_3	passive	none	0	0	0	50	50	1	same	3000	3000	0	1000	500	8000	72000	80000	False	0	1	polycubes_stim002_2_3_2_2.obj	polycubes_stim002_2_3_2_2.obj	ordered	True	500	-0.4392076432704925	0.2233696281909942	0.1233152151107788
sub-96	1	4	11	95	11	trained	passive	none	0	0	0	150	150	1	mirror	3000	3000	0	1000	500	8000	80000	88000	False	0	1	polycubes_stim095_2_3_2_4.obj	polycubes_stim095_2_3_2_4.obj	ordered	True	500	0.8031518459320068	-0.1323577612638473	-0.615969717502594
sub-96	1	4	12	68	11	novel_3	passive	none	0	0	0	50	-50	-1	mirror	3000	3000	0	1000	500	8000	88000	96000	False	0	1	polycubes_stim068_2_2_3_4.obj	polycubes_stim068_2_2_3_4.obj	ordered	True	500	0.1243783086538314	-0.0348417311906814	-0.0751046538352966
sub-96	1	4	13	188	12	novel_3	passive	none	0	0	0	150	-150	-1	same	3000	3000	0	1000	500	8000	96000	104000	False	0	1	polycubes_stim188_4_2_4_2.obj	polycubes_stim188_4_2_4_2.obj	ordered	True	500	-0.3140657544136047	0.3025632500648498	-0.1138233765959739
sub-96	1	4	14	26	10	novel_3	passive	none	0	0	0	50	-50	-1	same	3000	3000	0	1000	500	8000	104000	112000	False	0	1	polycubes_stim026_2_3_3_2.obj	polycubes_stim026_2_3_3_2.obj	ordered	True	500	0.470633864402771	-0.1974651664495468	-0.1913759112358093
