sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-04s	1	6	1	44	10	trained	passive	none	0	0	0	0	0	0	same	3000	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim044_3_2_2_3.obj	polycubes_stim044_3_2_2_3.obj	ordered	True	500	0.2850356101989746	-0.12315334379673	-0.1108704358339309
sub-04s	1	6	2	40	11	trained	passive	none	0	0	0	150	-150	-1	same	3000	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim040_3_4_2_2.obj	polycubes_stim040_3_4_2_2.obj	ordered	True	500	0.2863635420799255	-0.3988862931728363	0.2777469754219055
sub-04s	1	6	3	74	10	trained	passive	none	0	0	0	50	-50	-1	same	3000	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim074_3_2_2_3.obj	polycubes_stim074_3_2_2_3.obj	ordered	True	500	-0.3573908805847168	0.1864710748195648	0.0936809331178665
sub-04s	1	6	4	115	10	trained	passive	none	0	0	0	100	100	1	mirror	3000	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim115_2_3_2_3.obj	polycubes_stim115_2_3_2_3.obj	ordered	True	500	-0.4059226512908935	0.2256512194871902	0.0868035703897476
sub-04s	1	6	5	68	11	novel_1	passive	none	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim068_2_2_3_4.obj	polycubes_stim068_2_2_3_4.obj	ordered	True	500	0.1243783086538314	-0.0348417311906814	-0.0751046538352966
sub-04s	1	6	6	176	12	trained	passive	none	0	0	0	150	150	1	same	3000	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim176_3_2_3_4.obj	polycubes_stim176_3_2_3_4.obj	ordered	True	500	-0.6371347904205322	-0.1560458242893219	0.8578169345855713
sub-04s	1	6	7	196	12	novel_1	passive	none	0	0	0	100	-100	-1	mirror	3000	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim196_2_4_4_2.obj	polycubes_stim196_2_4_4_2.obj	ordered	True	500	0.3059375286102295	-0.2996525764465332	0.1178352609276771
sub-04s	1	6	8	38	10	novel_1	passive	none	0	0	0	0	0	0	same	3000	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim038_3_2_2_3.obj	polycubes_stim038_3_2_2_3.obj	ordered	True	500	-0.1652598679065704	-0.1828604638576507	0.4238636791706085
sub-04s	1	6	9	50	10	novel_1	passive	none	0	0	0	100	-100	-1	mirror	3000	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim050_2_2_2_4.obj	polycubes_stim050_2_2_2_4.obj	ordered	True	500	-0.2310848236083984	-0.0302162207663059	0.2738170325756073
sub-04s	1	6	10	161	11	novel_1	passive	none	0	0	0	50	-50	-1	same	3000	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim161_2_3_4_2.obj	polycubes_stim161_2_3_4_2.obj	ordered	True	500	0.2878263294696808	0.1538728028535843	-0.5054354071617126
