sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	7	1	112	11	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim112_2_4_2_3.obj	polycubes_stim112_2_4_2_3.obj	ordered	True	500
sub-01	1	7	2	78	11	novel_test	passive	none	0	0	150	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim78_3_4_2_2.obj	polycubes_stim78_3_4_2_2.obj	ordered	True	500
sub-01	1	7	3	26	10	trained_shared	passive	none	0	0	150	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim26_2_4_2_2.obj	polycubes_stim26_2_4_2_2.obj	ordered	True	500
sub-01	1	7	4	70	11	trained_shared	passive	none	0	0	150	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim70_3_3_3_2.obj	polycubes_stim70_3_3_3_2.obj	ordered	True	500
sub-01	1	7	5	158	12	novel_test	passive	none	0	0	150	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim158_4_2_3_3.obj	polycubes_stim158_4_2_3_3.obj	ordered	True	500
sub-01	1	7	6	52	10	trained_shared	passive	none	0	0	50	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim52_2_3_2_3.obj	polycubes_stim52_2_3_2_3.obj	ordered	True	500
sub-01	1	7	7	178	12	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim178_2_3_3_4.obj	polycubes_stim178_2_3_3_4.obj	ordered	True	500
sub-01	1	7	8	138	12	novel_test	passive	none	0	0	0	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim138_3_3_2_4.obj	polycubes_stim138_3_3_2_4.obj	ordered	True	500
sub-01	1	7	9	41	11	novel_test	passive	none	0	0	100	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	True	500
sub-01	1	7	10	185	12	trained_shared	passive	none	0	0	0	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim185_3_3_3_3.obj	polycubes_stim185_3_3_3_3.obj	ordered	True	500
sub-01	1	7	11	185	12	trained_shared	passive	none	0	0	150	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim185_3_3_3_3.obj	polycubes_stim185_3_3_3_3.obj	ordered	True	500
sub-01	1	7	12	183	12	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim183_2_4_3_3.obj	polycubes_stim183_2_4_3_3.obj	ordered	True	500
sub-01	1	7	13	4	10	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim4_2_2_2_4.obj	polycubes_stim4_2_2_2_4.obj	ordered	True	500
sub-01	1	7	14	183	12	novel_test	passive	none	0	0	100	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim183_2_4_3_3.obj	polycubes_stim183_2_4_3_3.obj	ordered	True	500
sub-01	1	7	15	96	11	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim96_3_2_2_4.obj	polycubes_stim96_3_2_2_4.obj	ordered	True	500
sub-01	1	7	16	168	12	novel_test	passive	none	0	0	0	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim168_3_4_2_3.obj	polycubes_stim168_3_4_2_3.obj	ordered	True	500
sub-01	1	7	17	77	11	novel_test	passive	none	0	0	0	same	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim77_3_2_3_3.obj	polycubes_stim77_3_2_3_3.obj	ordered	True	500
sub-01	1	7	18	63	11	novel_test	passive	none	0	0	0	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim63_2_3_4_2.obj	polycubes_stim63_2_3_4_2.obj	ordered	True	500
sub-01	1	7	19	64	10	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim64_2_3_2_3.obj	polycubes_stim64_2_3_2_3.obj	ordered	True	500
sub-01	1	7	20	82	10	trained_shared	passive	none	0	0	100	same	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim82_2_2_4_2.obj	polycubes_stim82_2_2_4_2.obj	ordered	True	500
sub-01	1	7	21	79	11	trained_shared	passive	none	0	0	150	mirror	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim79_2_2_4_3.obj	polycubes_stim79_2_2_4_3.obj	ordered	True	500
sub-01	1	7	22	78	11	novel_test	passive	none	0	0	0	mirror	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim78_3_4_2_2.obj	polycubes_stim78_3_4_2_2.obj	ordered	True	500
