sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-01	1	2	1	88	11	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim88_4_2_2_3.obj	polycubes_stim88_4_2_2_3.obj	ordered	True	500	0.1611205339431762	-0.1342832595109939	0.0287846997380256
sub-01	1	2	2	89	10	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim89_2_2_3_3.obj	polycubes_stim89_2_2_3_3.obj	ordered	True	500	-0.3799555897712707	0.0480975173413753	0.3119354248046875
sub-01	1	2	3	38	11	trained_shared	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim38_3_3_3_2.obj	polycubes_stim38_3_3_3_2.obj	ordered	True	500	-0.2352682650089264	0.1931770145893097	-0.0379253253340721
sub-01	1	2	4	15	10	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim15_3_2_3_2.obj	polycubes_stim15_3_2_3_2.obj	ordered	True	500	-0.0884102806448936	0.2790935337543487	-0.3062876760959625
sub-01	1	2	5	81	10	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim81_2_3_3_2.obj	polycubes_stim81_2_3_3_2.obj	ordered	True	500	-0.2053629159927368	0.6806267499923706	-0.7571889162063599
sub-01	1	2	6	145	12	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim145_4_4_2_2.obj	polycubes_stim145_4_4_2_2.obj	ordered	True	500	0.2970128059387207	-0.2049803733825683	-0.0071267336606979
sub-01	1	2	7	28	11	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500	-0.6615727543830872	-0.1651959121227264	0.8951951861381531
sub-01	1	2	8	60	10	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim60_2_2_3_3.obj	polycubes_stim60_2_2_3_3.obj	ordered	True	500	0.5880926847457886	-0.4411217868328094	0.0357477664947509
sub-01	1	2	9	35	10	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim35_2_3_2_3.obj	polycubes_stim35_2_3_2_3.obj	ordered	True	500	0.2058053910732269	-0.2012425661087036	0.0787946283817291
sub-01	1	2	10	56	10	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim56_2_4_2_2.obj	polycubes_stim56_2_4_2_2.obj	ordered	True	500	0.8009629249572754	-0.5399411916732788	-0.0373706221580505
sub-01	1	2	11	147	12	training_only	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim147_2_3_3_4.obj	polycubes_stim147_2_3_3_4.obj	ordered	True	500	-0.2291136682033538	-0.1079068705439567	0.3817170858383178
