sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-01	1	5	1	187	12	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim187_4_2_2_4.obj	polycubes_stim187_4_2_2_4.obj	ordered	True	500	0.1492931991815567	-0.0847661718726158	-0.0294157154858112
sub-01	1	5	2	198	12	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim198_3_3_2_4.obj	polycubes_stim198_3_3_2_4.obj	ordered	True	500	0.0203193724155426	0.2336691915988922	-0.3507775664329529
sub-01	1	5	3	69	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim69_3_2_2_4.obj	polycubes_stim69_3_2_2_4.obj	ordered	True	500	-0.1230262219905853	0.5296733975410461	-0.626045286655426
sub-01	1	5	4	199	12	trained_shared	passive	none	0	0	0	0	0	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim199_2_3_3_4.obj	polycubes_stim199_2_3_3_4.obj	ordered	True	500	0.0208637714385986	-0.2891982793807983	0.3881244659423828
sub-01	1	5	5	157	12	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim157_2_4_2_4.obj	polycubes_stim157_2_4_2_4.obj	ordered	True	500	-0.9403451681137084	0.8669259548187256	-0.2856734991073608
sub-01	1	5	6	114	12	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim114_2_2_4_4.obj	polycubes_stim114_2_2_4_4.obj	ordered	True	500	-0.4298403263092041	0.0953646525740623	0.2949743270874023
sub-01	1	5	7	76	11	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim76_2_2_3_4.obj	polycubes_stim76_2_2_3_4.obj	ordered	True	500	-0.6584275364875793	-0.0640865862369537	0.7490596771240234
sub-01	1	5	8	151	12	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim151_4_3_3_2.obj	polycubes_stim151_4_3_3_2.obj	ordered	True	500	-0.5812807083129883	-0.0290585551410913	0.6223757266998291
sub-01	1	5	9	8	10	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim8_3_3_2_2.obj	polycubes_stim8_3_3_2_2.obj	ordered	True	500	0.2942094206809997	-0.2445822060108184	0.051682099699974
sub-01	1	5	10	16	10	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim16_2_4_2_2.obj	polycubes_stim16_2_4_2_2.obj	ordered	True	500	0.3951649665832519	0.104199893772602	-0.5425258874893188
sub-01	1	5	11	153	12	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim153_2_4_4_2.obj	polycubes_stim153_2_4_4_2.obj	ordered	True	500	0.8419837951660156	-0.4936148226261139	-0.1439068615436554
sub-01	1	5	12	130	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim130_2_2_3_4.obj	polycubes_stim130_2_2_3_4.obj	ordered	True	500	-0.7043190598487854	0.925428032875061	-0.604434072971344
sub-01	1	5	13	132	11	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim132_2_4_3_2.obj	polycubes_stim132_2_4_3_2.obj	ordered	True	500	-0.0896387323737144	0.1443302482366562	-0.1144751086831092
sub-01	1	5	14	180	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim180_2_3_3_4.obj	polycubes_stim180_2_3_3_4.obj	ordered	True	500	0.0786304771900177	-0.2194598466157913	0.2317326664924621
sub-01	1	5	15	39	11	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim39_2_3_3_3.obj	polycubes_stim39_2_3_3_3.obj	ordered	True	500	-0.4287537932395935	0.0762506276369094	0.3209191262722015
sub-01	1	5	16	130	11	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim130_2_2_3_4.obj	polycubes_stim130_2_2_3_4.obj	ordered	True	500	-0.7043190598487854	0.925428032875061	-0.604434072971344
sub-01	1	5	17	81	10	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim81_2_3_3_2.obj	polycubes_stim81_2_3_3_2.obj	ordered	True	500	-0.2053629159927368	0.6806267499923706	-0.7571889162063599
sub-01	1	5	18	103	11	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim103_3_2_4_2.obj	polycubes_stim103_3_2_4_2.obj	ordered	True	500	0.0839646905660629	-0.344164103269577	0.4027569591999054
sub-01	1	5	19	183	12	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim183_2_4_3_3.obj	polycubes_stim183_2_4_3_3.obj	ordered	True	500	0.7887025475502014	0.1595883667469024	-1.0143946409225464
sub-01	1	5	20	39	11	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim39_2_3_3_3.obj	polycubes_stim39_2_3_3_3.obj	ordered	True	500	-0.4287537932395935	0.0762506276369094	0.3209191262722015
