sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	direction	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-06	2	2	1	168	12	trained	active_vis	late	60	100	280	70	150	1	50	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim168_2_4_4_2.obj	polycubes_stim168_2_4_4_2.obj	ordered	True	500	0.4520326852798462	-0.6916199922561646	0.5260658860206604
sub-06	2	2	2	117	10	trained	active_vis	late	60	100	280	70	150	1	50	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim117_2_2_3_3.obj	polycubes_stim117_2_2_3_3.obj	ordered	True	500	-0.3864472806453705	-0.0283350925892591	0.4265191853046417
sub-06	2	2	3	92	11	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim092_2_2_4_3.obj	polycubes_stim092_2_2_4_3.obj	ordered	True	500	0.4570870399475097	-0.3705730736255646	0.0669825077056884
sub-06	2	2	4	42	10	trained	active_vis	late	60	200	20	170	150	1	150	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim042_2_3_3_2.obj	polycubes_stim042_2_3_3_2.obj	ordered	True	500	0.012475848197937	-0.1577228605747223	0.2105779945850372
sub-06	2	2	5	168	12	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim168_2_4_4_2.obj	polycubes_stim168_2_4_4_2.obj	ordered	True	500	0.4520326852798462	-0.6916199922561646	0.5260658860206604
sub-06	2	2	6	117	10	trained	active_vis	late	60	0	180	330	150	1	0	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim117_2_2_3_3.obj	polycubes_stim117_2_2_3_3.obj	ordered	True	500	-0.3864472806453705	-0.0283350925892591	0.4265191853046417
sub-06	2	2	7	121	10	trained	active_vis	late	60	0	180	330	150	1	0	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim121_2_4_2_2.obj	polycubes_stim121_2_4_2_2.obj	ordered	True	500	-0.6469041109085083	0.4469183981418609	0.0148659646511077
sub-06	2	2	8	41	10	trained	active_vis	late	60	150	330	120	150	1	100	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim041_2_2_3_3.obj	polycubes_stim041_2_2_3_3.obj	ordered	True	500	0.5218170881271362	-0.0303658600896596	-0.4788733124732971
sub-06	2	2	9	110	11	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim110_2_2_4_3.obj	polycubes_stim110_2_2_4_3.obj	ordered	True	500	-0.233584389090538	-0.043408565223217	0.2949734032154083
sub-06	2	2	10	57	10	trained	active_vis	late	60	200	20	170	150	1	150	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim057_3_3_2_2.obj	polycubes_stim057_3_3_2_2.obj	ordered	True	500	-0.3991706073284149	0.4485152065753937	-0.235125795006752
sub-06	2	2	11	186	12	trained	active_vis	late	60	0	180	330	150	1	0	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-06	2	2	12	62	10	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim062_2_4_2_2.obj	polycubes_stim062_2_4_2_2.obj	ordered	True	500	0.188808798789978	-0.0553459823131561	-0.1105377525091171
sub-06	2	2	13	184	11	trained	active_vis	late	60	100	280	70	150	1	50	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim184_2_4_2_3.obj	polycubes_stim184_2_4_2_3.obj	ordered	True	500	-0.0403886437416076	0.7218032479286194	-0.9803955554962158
sub-06	2	2	14	202	12	trained	active_vis	late	60	200	20	170	150	1	150	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim202_4_2_4_2.obj	polycubes_stim202_4_2_4_2.obj	ordered	True	500	0.2247802317142486	-0.0331270992755889	-0.1779314279556274
sub-06	2	2	15	88	11	trained	active_vis	late	60	150	330	120	150	1	100	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim088_4_2_2_3.obj	polycubes_stim088_4_2_2_3.obj	ordered	True	500	-0.1998616009950637	0.0055743181146681	0.1919783353805542
sub-06	2	2	16	212	12	trained	active_vis	late	60	100	280	70	150	1	50	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim212_4_2_2_4.obj	polycubes_stim212_4_2_2_4.obj	ordered	True	500	-0.1684569120407104	0.0962159186601638	0.0323870480060577
sub-06	2	2	17	103	10	trained	active_vis	late	60	200	20	170	150	1	150	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim103_2_4_2_2.obj	polycubes_stim103_2_4_2_2.obj	ordered	True	500	0.8009629249572754	-0.5399411916732788	-0.0373706221580505
sub-06	2	2	18	45	9	trained	active_vis	late	60	100	280	70	150	1	50	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim045_2_2_2_3.obj	polycubes_stim045_2_2_2_3.obj	ordered	True	500	-0.1312236040830612	-0.0674304589629173	0.2265846878290176
sub-06	2	2	19	37	10	trained	active_vis	late	60	150	330	120	150	1	100	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim037_4_2_2_2.obj	polycubes_stim037_4_2_2_2.obj	ordered	True	500	0.5638463497161865	-0.252026230096817	-0.2074273973703384
sub-06	2	2	20	107	11	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim107_2_3_2_4.obj	polycubes_stim107_2_3_2_4.obj	ordered	True	500	0.0358203947544097	-0.2840807437896728	0.3659305572509765
sub-06	2	2	21	94	12	trained	active_vis	late	60	100	280	70	150	1	50	mirror	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim094_4_2_3_3.obj	polycubes_stim094_4_2_3_3.obj	ordered	True	500	-0.2253549098968505	0.1514138877391815	0.0112233087420463
sub-06	2	2	22	163	12	trained	active_vis	late	60	0	180	330	150	1	0	same	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim163_4_2_3_3.obj	polycubes_stim163_4_2_3_3.obj	ordered	True	500	0.7052705883979797	-0.1612925976514816	-0.4771683812141418
sub-06	2	2	23	64	10	trained	active_vis	late	60	150	330	120	150	1	100	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim064_3_3_2_2.obj	polycubes_stim064_3_3_2_2.obj	ordered	True	500	-0.2963408827781677	0.2370860129594802	-0.038949429988861
