sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	response_window_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-90	1	4	1	32	10	trained	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	0	11000	False	0	1	polycubes_stim032_2_3_3_2.obj	polycubes_stim032_2_3_3_2.obj	ordered	True	500	0.7204731106758118	-0.517593264579773	0.0115143954753875
sub-90	1	4	2	164	10	novel_3	active_sen	none	0	0		50	50	1	same	6000	3000	0	1000	500	11000	11000	22000	False	0	1	polycubes_stim164_2_2_2_4.obj	polycubes_stim164_2_2_2_4.obj	ordered	True	500	-0.3269034624099731	-0.0574849210679531	0.4081994593143463
sub-90	1	4	3	197	12	trained	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	22000	33000	False	0	1	polycubes_stim197_2_4_4_2.obj	polycubes_stim197_2_4_4_2.obj	ordered	True	500	0.0795948356389999	-0.2001010328531265	0.2033908367156982
sub-90	1	4	4	155	12	novel_3	active_sen	none	0	0		100	-100	-1	mirror	6000	3000	0	1000	500	11000	33000	44000	False	0	1	polycubes_stim155_2_4_4_2.obj	polycubes_stim155_2_4_4_2.obj	ordered	True	500	-0.2236339151859283	-0.2646830976009369	0.5979524850845337
sub-90	1	4	5	27	11	trained	active_sen	none	0	0		150	-150	-1	mirror	6000	3000	0	1000	500	11000	44000	55000	False	0	1	polycubes_stim027_2_4_3_2.obj	polycubes_stim027_2_4_3_2.obj	ordered	True	500	-0.1286996304988861	-0.4534026086330414	0.7699078917503357
sub-90	1	4	6	143	11	novel_3	active_sen	none	0	0		150	150	1	same	6000	3000	0	1000	500	11000	55000	66000	False	0	1	polycubes_stim143_2_2_4_3.obj	polycubes_stim143_2_2_4_3.obj	ordered	True	500	-0.5760364532470703	0.0418066717684268	0.5169128775596619
sub-90	1	4	7	56	11	trained	active_sen	none	0	0		100	100	1	same	6000	3000	0	1000	500	11000	66000	77000	False	0	1	polycubes_stim056_3_3_2_3.obj	polycubes_stim056_3_3_2_3.obj	ordered	True	500	0.5248880386352539	-0.4050444662570953	0.0479314178228378
sub-90	1	4	8	71	9	novel_3	active_sen	none	0	0		100	100	1	mirror	6000	3000	0	1000	500	11000	77000	88000	False	0	1	polycubes_stim071_2_2_2_3.obj	polycubes_stim071_2_2_2_3.obj	ordered	True	500	0.4834429025650024	-0.4838185906410217	0.2007800191640854
sub-90	1	4	9	97	11	novel_3	active_sen	none	0	0		100	-100	-1	same	6000	3000	0	1000	500	11000	88000	99000	False	0	1	polycubes_stim097_2_3_2_4.obj	polycubes_stim097_2_3_2_4.obj	ordered	True	500	0.3474240899085998	0.0697081312537193	-0.4460062980651855
sub-90	1	4	10	67	10	novel_3	active_sen	none	0	0		100	-100	-1	mirror	6000	3000	0	1000	500	11000	99000	110000	False	0	1	polycubes_stim067_2_3_3_2.obj	polycubes_stim067_2_3_3_2.obj	ordered	True	500	-0.1699916273355484	-0.1174322441220283	0.3360659480094909
