sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	response_window_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-94	1	4	1	181	12	trained	active_sen	none	0	0		100	-100	-1	mirror	6000	3000	0	1000	500	11000	0	11000	False	0	1	polycubes_stim181_2_3_4_3.obj	polycubes_stim181_2_3_4_3.obj	ordered	True	500	-0.8621085286140442	0.1439710855484008	0.6585026979446411
sub-94	1	4	2	80	11	trained	active_sen	none	0	0		50	50	1	mirror	6000	3000	0	1000	500	11000	11000	22000	False	0	1	polycubes_stim080_4_2_3_2.obj	polycubes_stim080_4_2_3_2.obj	ordered	True	500	-0.7532925605773926	0.5313675403594971	0.0018252730369567
sub-94	1	4	3	16	9	novel_3	active_sen	none	0	0		100	-100	-1	mirror	6000	3000	0	1000	500	11000	22000	33000	False	0	1	polycubes_stim016_2_2_3_2.obj	polycubes_stim016_2_2_3_2.obj	ordered	True	500	-0.1685564517974853	0.3604185283184051	-0.3411524295806885
sub-94	1	4	4	123	11	trained	active_sen	none	0	0		150	150	1	mirror	6000	3000	0	1000	500	11000	33000	44000	False	0	1	polycubes_stim123_3_2_2_4.obj	polycubes_stim123_3_2_2_4.obj	ordered	True	500	-0.1112136095762252	-0.0553955771028995	0.1895547956228256
sub-94	1	4	5	17	10	novel_3	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	44000	55000	False	0	1	polycubes_stim017_2_3_3_2.obj	polycubes_stim017_2_3_3_2.obj	ordered	True	500	0.1207334697246551	-0.0313727967441082	-0.0763656347990036
sub-94	1	4	6	170	12	novel_3	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	55000	66000	False	0	1	polycubes_stim170_2_2_4_4.obj	polycubes_stim170_2_2_4_4.obj	ordered	True	500	0.2418842315673828	-0.4670720398426056	0.418655514717102
sub-94	1	4	7	219	12	novel_3	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	66000	77000	False	0	1	polycubes_stim219_3_2_3_4.obj	polycubes_stim219_3_2_3_4.obj	ordered	True	500	0.0068964958190917	-0.3496316075325012	0.4875573515892029
sub-94	1	4	8	186	12	novel_3	active_sen	none	0	0		0	0	0	mirror	6000	3000	0	1000	500	11000	77000	88000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-94	1	4	9	75	11	trained	active_sen	none	0	0		150	150	1	same	6000	3000	0	1000	500	11000	88000	99000	False	0	1	polycubes_stim075_2_3_3_3.obj	polycubes_stim075_2_3_3_3.obj	ordered	True	500	-0.1507512032985687	-0.3208411931991577	0.604489266872406
sub-94	1	4	10	166	12	novel_3	active_sen	none	0	0		50	-50	-1	same	6000	3000	0	1000	500	11000	99000	110000	False	0	1	polycubes_stim166_3_3_3_3.obj	polycubes_stim166_3_3_3_3.obj	ordered	True	500	-0.0605869889259338	0.6451382637023926	-0.8517764806747437
sub-94	1	4	11	87	9	novel_3	active_sen	none	0	0		100	-100	-1	same	6000	3000	0	1000	500	11000	110000	121000	False	0	1	polycubes_stim087_2_3_2_2.obj	polycubes_stim087_2_3_2_2.obj	ordered	True	500	-0.0162021331489086	0.0973841324448585	-0.1215198561549186
sub-94	1	4	12	120	11	trained	active_sen	none	0	0		0	0	0	same	6000	3000	0	1000	500	11000	121000	132000	False	0	1	polycubes_stim120_2_4_2_3.obj	polycubes_stim120_2_4_2_3.obj	ordered	True	500	0.3545178174972534	-0.2197285890579223	-0.0437746047973632
sub-94	1	4	13	177	12	novel_3	active_sen	none	0	0		150	150	1	same	6000	3000	0	1000	500	11000	132000	143000	False	0	1	polycubes_stim177_2_3_3_4.obj	polycubes_stim177_2_3_3_4.obj	ordered	True	500	0.2456217408180236	-0.8103868365287781	0.9004385471343994
