sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	2	5	1	156	11	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim156_2_2_3_4.obj	polycubes_stim156_2_2_3_4.obj	ordered	True	500
sub-02	2	5	2	50	10	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim50_2_2_4_2.obj	polycubes_stim50_2_2_4_2.obj	ordered	True	500
sub-02	2	5	3	178	12	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim178_2_3_3_4.obj	polycubes_stim178_2_3_3_4.obj	ordered	True	500
sub-02	2	5	4	190	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim190_2_4_3_3.obj	polycubes_stim190_2_4_3_3.obj	ordered	True	500
sub-02	2	5	5	30	10	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim30_3_2_2_3.obj	polycubes_stim30_3_2_2_3.obj	ordered	True	500
sub-02	2	5	6	151	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim151_4_3_3_2.obj	polycubes_stim151_4_3_3_2.obj	ordered	True	500
sub-02	2	5	7	8	10	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim8_3_3_2_2.obj	polycubes_stim8_3_3_2_2.obj	ordered	True	500
sub-02	2	5	8	8	10	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim8_3_3_2_2.obj	polycubes_stim8_3_3_2_2.obj	ordered	True	500
sub-02	2	5	9	27	10	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim27_2_3_3_2.obj	polycubes_stim27_2_3_3_2.obj	ordered	True	500
sub-02	2	5	10	8	10	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim8_3_3_2_2.obj	polycubes_stim8_3_3_2_2.obj	ordered	True	500
sub-02	2	5	11	64	10	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim64_2_3_2_3.obj	polycubes_stim64_2_3_2_3.obj	ordered	True	500
sub-02	2	5	12	8	10	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim8_3_3_2_2.obj	polycubes_stim8_3_3_2_2.obj	ordered	True	500
sub-02	2	5	13	100	11	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	True	500
sub-02	2	5	14	72	11	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim72_2_2_4_3.obj	polycubes_stim72_2_2_4_3.obj	ordered	True	500
sub-02	2	5	15	10	11	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim10_4_3_2_2.obj	polycubes_stim10_4_3_2_2.obj	ordered	True	500
sub-02	2	5	16	83	10	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim83_2_3_3_2.obj	polycubes_stim83_2_3_3_2.obj	ordered	True	500
sub-02	2	5	17	192	12	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim192_2_4_3_3.obj	polycubes_stim192_2_4_3_3.obj	ordered	True	500
sub-02	2	5	18	156	11	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim156_2_2_3_4.obj	polycubes_stim156_2_2_3_4.obj	ordered	True	500
sub-02	2	5	19	100	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	True	500
sub-02	2	5	20	114	12	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim114_2_2_4_4.obj	polycubes_stim114_2_2_4_4.obj	ordered	True	500
sub-02	2	5	21	198	12	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim198_3_3_2_4.obj	polycubes_stim198_3_3_2_4.obj	ordered	True	500
sub-02	2	5	22	159	12	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim159_3_2_4_3.obj	polycubes_stim159_3_2_4_3.obj	ordered	True	500
sub-02	2	5	23	64	10	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim64_2_3_2_3.obj	polycubes_stim64_2_3_2_3.obj	ordered	True	500
sub-02	2	5	24	33	11	novel_test	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim33_2_4_2_3.obj	polycubes_stim33_2_4_2_3.obj	ordered	True	500
sub-02	2	5	25	155	12	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	True	500
sub-02	2	5	26	83	10	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim83_2_3_3_2.obj	polycubes_stim83_2_3_3_2.obj	ordered	True	500
sub-02	2	5	27	166	12	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim166_3_2_4_3.obj	polycubes_stim166_3_2_4_3.obj	ordered	True	500
sub-02	2	5	28	83	10	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim83_2_3_3_2.obj	polycubes_stim83_2_3_3_2.obj	ordered	True	500
sub-02	2	5	29	189	12	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim189_2_3_4_3.obj	polycubes_stim189_2_3_4_3.obj	ordered	True	500
sub-02	2	5	30	79	11	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim79_2_2_4_3.obj	polycubes_stim79_2_2_4_3.obj	ordered	True	500
sub-02	2	5	31	199	12	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim199_2_3_3_4.obj	polycubes_stim199_2_3_3_4.obj	ordered	True	500
sub-02	2	5	32	155	12	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	True	500
sub-02	2	5	33	115	11	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim115_3_2_3_3.obj	polycubes_stim115_3_2_3_3.obj	ordered	True	500
sub-02	2	5	34	158	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim158_4_2_3_3.obj	polycubes_stim158_4_2_3_3.obj	ordered	True	500
