sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	2	3	1	116	11	trained_shared	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim116_2_3_4_2.obj	polycubes_stim116_2_3_4_2.obj	ordered	True	500
sub-02	2	3	2	92	10	training_only	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim92_2_2_3_3.obj	polycubes_stim92_2_2_3_3.obj	ordered	True	500
sub-02	2	3	3	162	12	training_only	active_vis	late	60	140	320	100	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim162_2_4_2_4.obj	polycubes_stim162_2_4_2_4.obj	ordered	True	500
sub-02	2	3	4	114	12	training_only	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim114_2_2_4_4.obj	polycubes_stim114_2_2_4_4.obj	ordered	True	500
sub-02	2	3	5	35	10	training_only	active_vis	late	60	90	270	50	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim35_2_3_2_3.obj	polycubes_stim35_2_3_2_3.obj	ordered	True	500
sub-02	2	3	6	110	12	trained_shared	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim110_3_4_3_2.obj	polycubes_stim110_3_4_3_2.obj	ordered	True	500
sub-02	2	3	7	57	11	trained_shared	active_vis	late	60	0	180	0	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim57_2_3_2_4.obj	polycubes_stim57_2_3_2_4.obj	ordered	True	500
sub-02	2	3	8	139	11	trained_shared	active_vis	late	60	90	270	50	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim139_2_4_3_2.obj	polycubes_stim139_2_4_3_2.obj	ordered	True	500
sub-02	2	3	9	4	10	training_only	active_vis	late	60	0	180	0	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim4_2_2_2_4.obj	polycubes_stim4_2_2_2_4.obj	ordered	True	500
sub-02	2	3	10	133	11	training_only	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim133_3_2_2_4.obj	polycubes_stim133_3_2_2_4.obj	ordered	True	500
