sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	1	1	1	51	10	pretraining	passive	none	0	0	0	150	150	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim51_2_2_2_4.obj	polycubes_stim51_2_2_2_4.obj	ordered	True	500
sub-02	1	1	2	80	11	pretraining	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim80_3_4_2_2.obj	polycubes_stim80_3_4_2_2.obj	ordered	True	500
sub-02	1	1	3	146	11	pretraining	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim146_2_4_3_2.obj	polycubes_stim146_2_4_3_2.obj	ordered	True	500
sub-02	1	1	4	171	12	pretraining	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim171_2_4_4_2.obj	polycubes_stim171_2_4_4_2.obj	ordered	True	500
sub-02	1	1	5	168	12	pretraining	passive	none	0	0	0	50	50	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim168_3_4_2_3.obj	polycubes_stim168_3_4_2_3.obj	ordered	True	500
sub-02	1	1	6	26	10	pretraining	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim26_2_4_2_2.obj	polycubes_stim26_2_4_2_2.obj	ordered	True	500
sub-02	1	1	7	137	12	pretraining	passive	none	0	0	0	50	50	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim137_3_4_3_2.obj	polycubes_stim137_3_4_3_2.obj	ordered	True	500
sub-02	1	1	8	88	11	pretraining	passive	none	0	0	0	0	0	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim88_4_2_2_3.obj	polycubes_stim88_4_2_2_3.obj	ordered	True	500
sub-02	1	1	9	99	12	pretraining	passive	none	0	0	0	100	100	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim99_2_2_4_4.obj	polycubes_stim99_2_2_4_4.obj	ordered	True	500
sub-02	1	1	10	148	12	pretraining	passive	none	0	0	0	50	50	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim148_3_2_3_4.obj	polycubes_stim148_3_2_3_4.obj	ordered	True	500
