sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	1	5	1	91	11	novel_test	passive	none	0	0	0	100	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim91_3_3_2_3.obj	polycubes_stim91_3_3_2_3.obj	ordered	True	500
sub-02	1	5	2	28	11	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500
sub-02	1	5	3	115	11	novel_test	passive	none	0	0	0	0	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim115_3_2_3_3.obj	polycubes_stim115_3_2_3_3.obj	ordered	True	500
sub-02	1	5	4	166	12	novel_test	passive	none	0	0	0	0	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim166_3_2_4_3.obj	polycubes_stim166_3_2_4_3.obj	ordered	True	500
sub-02	1	5	5	51	10	trained_shared	passive	none	0	0	0	100	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim51_2_2_2_4.obj	polycubes_stim51_2_2_2_4.obj	ordered	True	500
sub-02	1	5	6	134	12	trained_shared	passive	none	0	0	0	0	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	True	500
sub-02	1	5	7	123	10	trained_shared	passive	none	0	0	0	100	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	True	500
sub-02	1	5	8	194	12	novel_test	passive	none	0	0	0	100	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim194_2_3_4_3.obj	polycubes_stim194_2_3_4_3.obj	ordered	True	500
sub-02	1	5	9	84	11	novel_test	passive	none	0	0	0	0	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-02	1	5	10	160	11	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim160_2_2_4_3.obj	polycubes_stim160_2_2_4_3.obj	ordered	True	500
sub-02	1	5	11	130	11	novel_test	passive	none	0	0	0	50	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim130_2_2_3_4.obj	polycubes_stim130_2_2_3_4.obj	ordered	True	500
sub-02	1	5	12	137	12	novel_test	passive	none	0	0	0	0	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim137_3_4_3_2.obj	polycubes_stim137_3_4_3_2.obj	ordered	True	500
sub-02	1	5	13	181	12	novel_test	passive	none	0	0	0	50	mirror	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim181_4_2_3_3.obj	polycubes_stim181_4_2_3_3.obj	ordered	True	500
sub-02	1	5	14	123	10	trained_shared	passive	none	0	0	0	0	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	True	500
sub-02	1	5	15	139	11	trained_shared	passive	none	0	0	0	100	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim139_2_4_3_2.obj	polycubes_stim139_2_4_3_2.obj	ordered	True	500
sub-02	1	5	16	1	10	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim1_2_4_2_2.obj	polycubes_stim1_2_4_2_2.obj	ordered	True	500
sub-02	1	5	17	172	12	novel_test	passive	none	0	0	0	0	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim172_2_3_3_4.obj	polycubes_stim172_2_3_3_4.obj	ordered	True	500
sub-02	1	5	18	16	10	trained_shared	passive	none	0	0	0	0	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim16_2_4_2_2.obj	polycubes_stim16_2_4_2_2.obj	ordered	True	500
sub-02	1	5	19	5	10	trained_shared	passive	none	0	0	0	50	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim5_4_2_2_2.obj	polycubes_stim5_4_2_2_2.obj	ordered	True	500
sub-02	1	5	20	176	12	trained_shared	passive	none	0	0	0	150	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim176_2_3_4_3.obj	polycubes_stim176_2_3_4_3.obj	ordered	True	500
sub-02	1	5	21	111	11	novel_test	passive	none	0	0	0	100	same	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim111_3_4_2_2.obj	polycubes_stim111_3_4_2_2.obj	ordered	True	500
sub-02	1	5	22	84	11	novel_test	passive	none	0	0	0	150	same	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-02	1	5	23	71	11	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim71_3_3_2_3.obj	polycubes_stim71_3_3_2_3.obj	ordered	True	500
sub-02	1	5	24	9	10	trained_shared	passive	none	0	0	0	0	mirror	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim9_4_2_2_2.obj	polycubes_stim9_4_2_2_2.obj	ordered	True	500
sub-02	1	5	25	84	11	novel_test	passive	none	0	0	0	50	mirror	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-02	1	5	26	159	12	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim159_3_2_4_3.obj	polycubes_stim159_3_2_4_3.obj	ordered	True	500
sub-02	1	5	27	84	11	novel_test	passive	none	0	0	0	150	same	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-02	1	5	28	105	12	trained_shared	passive	none	0	0	0	50	mirror	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim105_4_2_3_3.obj	polycubes_stim105_4_2_3_3.obj	ordered	True	500
sub-02	1	5	29	99	12	novel_test	passive	none	0	0	0	50	mirror	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim99_2_2_4_4.obj	polycubes_stim99_2_2_4_4.obj	ordered	True	500
sub-02	1	5	30	11	11	trained_shared	passive	none	0	0	0	0	same	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	True	500
sub-02	1	5	31	123	10	trained_shared	passive	none	0	0	0	100	mirror	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	True	500
sub-02	1	5	32	3	11	trained_shared	passive	none	0	0	0	0	same	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim3_2_2_3_4.obj	polycubes_stim3_2_2_3_4.obj	ordered	True	500
sub-02	1	5	33	99	12	novel_test	passive	none	0	0	0	50	same	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim99_2_2_4_4.obj	polycubes_stim99_2_2_4_4.obj	ordered	True	500
sub-02	1	5	34	174	12	trained_shared	passive	none	0	0	0	100	same	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim174_2_2_4_4.obj	polycubes_stim174_2_2_4_4.obj	ordered	True	500
sub-02	1	5	35	153	12	trained_shared	passive	none	0	0	0	100	same	3000	1000	500	8000	277000	285000	False	0	1	polycubes_stim153_2_4_4_2.obj	polycubes_stim153_2_4_4_2.obj	ordered	True	500
sub-02	1	5	36	9	10	trained_shared	passive	none	0	0	0	50	same	3000	1000	500	8000	285000	293000	False	0	1	polycubes_stim9_4_2_2_2.obj	polycubes_stim9_4_2_2_2.obj	ordered	True	500
sub-02	1	5	37	38	11	trained_shared	passive	none	0	0	0	150	mirror	3000	1000	500	8000	293000	301000	False	0	1	polycubes_stim38_3_3_3_2.obj	polycubes_stim38_3_3_3_2.obj	ordered	True	500
sub-02	1	5	38	112	11	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	301000	309000	False	0	1	polycubes_stim112_2_4_2_3.obj	polycubes_stim112_2_4_2_3.obj	ordered	True	500
sub-02	1	5	39	194	12	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	309000	317000	False	0	1	polycubes_stim194_2_3_4_3.obj	polycubes_stim194_2_3_4_3.obj	ordered	True	500
sub-02	1	5	40	99	12	novel_test	passive	none	0	0	0	0	same	3000	1000	500	8000	317000	325000	True	5000	1	polycubes_stim99_2_2_4_4.obj	polycubes_stim99_2_2_4_4.obj	ordered	True	500
sub-02	1	5	41	82	10	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	330000	338000	False	0	1	polycubes_stim82_2_2_4_2.obj	polycubes_stim82_2_2_4_2.obj	ordered	True	500
sub-02	1	5	42	91	11	novel_test	passive	none	0	0	0	50	same	3000	1000	500	8000	338000	346000	False	0	1	polycubes_stim91_3_3_2_3.obj	polycubes_stim91_3_3_2_3.obj	ordered	True	500
sub-02	1	5	43	155	12	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	346000	354000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	True	500
sub-02	1	5	44	88	11	novel_test	passive	none	0	0	0	50	same	3000	1000	500	8000	354000	362000	False	0	1	polycubes_stim88_4_2_2_3.obj	polycubes_stim88_4_2_2_3.obj	ordered	True	500
sub-02	1	5	45	96	11	trained_shared	passive	none	0	0	0	0	same	3000	1000	500	8000	362000	370000	False	0	1	polycubes_stim96_3_2_2_4.obj	polycubes_stim96_3_2_2_4.obj	ordered	True	500
sub-02	1	5	46	105	12	trained_shared	passive	none	0	0	0	50	same	3000	1000	500	8000	370000	378000	False	0	1	polycubes_stim105_4_2_3_3.obj	polycubes_stim105_4_2_3_3.obj	ordered	True	500
sub-02	1	5	47	140	11	trained_shared	passive	none	0	0	0	0	mirror	3000	1000	500	8000	378000	386000	False	0	1	polycubes_stim140_4_2_2_3.obj	polycubes_stim140_4_2_2_3.obj	ordered	True	500
sub-02	1	5	48	71	11	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	386000	394000	False	0	1	polycubes_stim71_3_3_2_3.obj	polycubes_stim71_3_3_2_3.obj	ordered	True	500
sub-02	1	5	49	123	10	trained_shared	passive	none	0	0	0	100	mirror	3000	1000	500	8000	394000	402000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	True	500
sub-02	1	5	50	110	12	trained_shared	passive	none	0	0	0	100	same	3000	1000	500	8000	402000	410000	False	0	1	polycubes_stim110_3_4_3_2.obj	polycubes_stim110_3_4_3_2.obj	ordered	True	500
sub-02	1	5	51	9	10	trained_shared	passive	none	0	0	0	50	mirror	3000	1000	500	8000	410000	418000	False	0	1	polycubes_stim9_4_2_2_2.obj	polycubes_stim9_4_2_2_2.obj	ordered	True	500
sub-02	1	5	52	115	11	novel_test	passive	none	0	0	0	150	same	3000	1000	500	8000	418000	426000	False	0	1	polycubes_stim115_3_2_3_3.obj	polycubes_stim115_3_2_3_3.obj	ordered	True	500
sub-02	1	5	53	33	11	novel_test	passive	none	0	0	0	0	mirror	3000	1000	500	8000	426000	434000	False	0	1	polycubes_stim33_2_4_2_3.obj	polycubes_stim33_2_4_2_3.obj	ordered	True	500
sub-02	1	5	54	116	11	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	434000	442000	False	0	1	polycubes_stim116_2_3_4_2.obj	polycubes_stim116_2_3_4_2.obj	ordered	True	500
sub-02	1	5	55	112	11	novel_test	passive	none	0	0	0	100	same	3000	1000	500	8000	442000	450000	False	0	1	polycubes_stim112_2_4_2_3.obj	polycubes_stim112_2_4_2_3.obj	ordered	True	500
sub-02	1	5	56	116	11	trained_shared	passive	none	0	0	0	50	mirror	3000	1000	500	8000	450000	458000	False	0	1	polycubes_stim116_2_3_4_2.obj	polycubes_stim116_2_3_4_2.obj	ordered	True	500
sub-02	1	5	57	159	12	novel_test	passive	none	0	0	0	150	same	3000	1000	500	8000	458000	466000	False	0	1	polycubes_stim159_3_2_4_3.obj	polycubes_stim159_3_2_4_3.obj	ordered	True	500
sub-02	1	5	58	76	11	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	466000	474000	False	0	1	polycubes_stim76_2_2_3_4.obj	polycubes_stim76_2_2_3_4.obj	ordered	True	500
sub-02	1	5	59	91	11	novel_test	passive	none	0	0	0	0	same	3000	1000	500	8000	474000	482000	False	0	1	polycubes_stim91_3_3_2_3.obj	polycubes_stim91_3_3_2_3.obj	ordered	True	500
sub-02	1	5	60	16	10	trained_shared	passive	none	0	0	0	50	same	3000	1000	500	8000	482000	490000	True	5000	1	polycubes_stim16_2_4_2_2.obj	polycubes_stim16_2_4_2_2.obj	ordered	True	500
