sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	1	3	1	15	10	training_only	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim15_3_2_3_2.obj	polycubes_stim15_3_2_3_2.obj	ordered	True	500
sub-02	1	3	2	122	12	trained_shared	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim122_4_3_3_2.obj	polycubes_stim122_4_3_3_2.obj	ordered	True	500
sub-02	1	3	3	141	12	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim141_3_3_2_4.obj	polycubes_stim141_3_3_2_4.obj	ordered	True	500
sub-02	1	3	4	162	12	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim162_2_4_2_4.obj	polycubes_stim162_2_4_2_4.obj	ordered	True	500
sub-02	1	3	5	191	12	training_only	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim191_4_4_2_2.obj	polycubes_stim191_4_4_2_2.obj	ordered	True	500
sub-02	1	3	6	141	12	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim141_3_3_2_4.obj	polycubes_stim141_3_3_2_4.obj	ordered	True	500
sub-02	1	3	7	132	11	trained_shared	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim132_2_4_3_2.obj	polycubes_stim132_2_4_3_2.obj	ordered	True	500
sub-02	1	3	8	178	12	trained_shared	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim178_2_3_3_4.obj	polycubes_stim178_2_3_3_4.obj	ordered	True	500
sub-02	1	3	9	188	12	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim188_2_4_4_2.obj	polycubes_stim188_2_4_4_2.obj	ordered	True	500
sub-02	1	3	10	98	11	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim98_2_3_4_2.obj	polycubes_stim98_2_3_4_2.obj	ordered	True	500
sub-02	1	3	11	42	10	trained_shared	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim42_3_2_3_2.obj	polycubes_stim42_3_2_3_2.obj	ordered	True	500
sub-02	1	3	12	174	12	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim174_2_2_4_4.obj	polycubes_stim174_2_2_4_4.obj	ordered	True	500
sub-02	1	3	13	164	12	trained_shared	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim164_4_2_4_2.obj	polycubes_stim164_4_2_4_2.obj	ordered	True	500
sub-02	1	3	14	115	11	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim115_3_2_3_3.obj	polycubes_stim115_3_2_3_3.obj	ordered	True	500
sub-02	1	3	15	67	11	training_only	active_vis	late	60	90	270	50	320	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim67_3_2_2_4.obj	polycubes_stim67_3_2_2_4.obj	ordered	True	500
sub-02	1	3	16	130	11	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim130_2_2_3_4.obj	polycubes_stim130_2_2_3_4.obj	ordered	True	500
sub-02	1	3	17	87	11	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim87_3_3_2_3.obj	polycubes_stim87_3_3_2_3.obj	ordered	True	500
sub-02	1	3	18	37	10	trained_shared	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim37_2_2_4_2.obj	polycubes_stim37_2_2_4_2.obj	ordered	True	500
sub-02	1	3	19	103	11	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim103_3_2_4_2.obj	polycubes_stim103_3_2_4_2.obj	ordered	True	500
sub-02	1	3	20	162	12	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim162_2_4_2_4.obj	polycubes_stim162_2_4_2_4.obj	ordered	True	500
sub-02	1	3	21	192	12	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim192_2_4_3_3.obj	polycubes_stim192_2_4_3_3.obj	ordered	True	500
sub-02	1	3	22	135	12	trained_shared	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim135_3_3_3_3.obj	polycubes_stim135_3_3_3_3.obj	ordered	True	500
sub-02	1	3	23	173	12	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim173_2_4_2_4.obj	polycubes_stim173_2_4_2_4.obj	ordered	True	500
sub-02	1	3	24	133	11	trained_shared	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim133_3_2_2_4.obj	polycubes_stim133_3_2_2_4.obj	ordered	True	500
sub-02	1	3	25	14	10	training_only	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim14_2_3_3_2.obj	polycubes_stim14_2_3_3_2.obj	ordered	True	500
sub-02	1	3	26	98	11	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim98_2_3_4_2.obj	polycubes_stim98_2_3_4_2.obj	ordered	True	500
sub-02	1	3	27	191	12	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim191_4_4_2_2.obj	polycubes_stim191_4_4_2_2.obj	ordered	True	500
sub-02	1	3	28	17	10	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim17_2_3_2_3.obj	polycubes_stim17_2_3_2_3.obj	ordered	True	500
sub-02	1	3	29	152	12	trained_shared	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim152_2_4_4_2.obj	polycubes_stim152_2_4_4_2.obj	ordered	True	500
sub-02	1	3	30	10	11	trained_shared	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim10_4_3_2_2.obj	polycubes_stim10_4_3_2_2.obj	ordered	True	500
sub-02	1	3	31	191	12	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim191_4_4_2_2.obj	polycubes_stim191_4_4_2_2.obj	ordered	True	500
sub-02	1	3	32	179	12	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim179_3_2_3_4.obj	polycubes_stim179_3_2_3_4.obj	ordered	True	500
sub-02	1	3	33	14	10	training_only	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim14_2_3_3_2.obj	polycubes_stim14_2_3_3_2.obj	ordered	True	500
