sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	2	1	1	101	12	pretraining	passive	none	0	0	0	150	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim101_4_3_2_3.obj	polycubes_stim101_4_3_2_3.obj	ordered	True	500
sub-02	2	1	2	85	11	pretraining	passive	none	0	0	0	100	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim85_2_4_3_2.obj	polycubes_stim85_2_4_3_2.obj	ordered	True	500
sub-02	2	1	3	122	12	pretraining	passive	none	0	0	0	150	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim122_4_3_3_2.obj	polycubes_stim122_4_3_3_2.obj	ordered	True	500
sub-02	2	1	4	195	12	pretraining	passive	none	0	0	0	150	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
sub-02	2	1	5	81	10	pretraining	passive	none	0	0	0	150	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim81_2_3_3_2.obj	polycubes_stim81_2_3_3_2.obj	ordered	True	500
sub-02	2	1	6	98	11	pretraining	passive	none	0	0	0	0	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim98_2_3_4_2.obj	polycubes_stim98_2_3_4_2.obj	ordered	True	500
sub-02	2	1	7	195	12	pretraining	passive	none	0	0	0	0	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
sub-02	2	1	8	158	12	pretraining	passive	none	0	0	0	0	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim158_4_2_3_3.obj	polycubes_stim158_4_2_3_3.obj	ordered	True	500
sub-02	2	1	9	167	12	pretraining	passive	none	0	0	0	50	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim167_2_2_4_4.obj	polycubes_stim167_2_2_4_4.obj	ordered	True	500
sub-02	2	1	10	195	12	pretraining	passive	none	0	0	0	150	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
