sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-02	1	3	1	196	12	trained_shared	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim196_2_4_3_3.obj	polycubes_stim196_2_4_3_3.obj	ordered	True	500	-0.1724694669246673	0.0829080194234848	0.0552198141813278
sub-02	1	3	2	16	10	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim16_2_4_2_2.obj	polycubes_stim16_2_4_2_2.obj	ordered	True	500	0.3951649665832519	0.104199893772602	-0.5425258874893188
sub-02	1	3	3	47	10	training_only	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim47_4_2_2_2.obj	polycubes_stim47_4_2_2_2.obj	ordered	True	500	-0.6584856510162354	0.5506419539451599	-0.1202397644519805
sub-02	1	3	4	7	10	training_only	active_vis	late	60	140	320	100	60	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim7_3_2_3_2.obj	polycubes_stim7_3_2_3_2.obj	ordered	True	500	0.1615893095731735	-0.5056192874908447	0.5534645318984985
sub-02	1	3	5	157	12	training_only	active_vis	late	60	190	10	150	160	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim157_2_4_2_4.obj	polycubes_stim157_2_4_2_4.obj	ordered	True	500	-0.9403451681137084	0.8669259548187256	-0.2856734991073608
sub-02	1	3	6	180	12	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim180_2_3_3_4.obj	polycubes_stim180_2_3_3_4.obj	ordered	True	500	0.0786304771900177	-0.2194598466157913	0.2317326664924621
sub-02	1	3	7	87	11	trained_shared	active_vis	late	60	0	180	0	180	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim87_3_3_2_3.obj	polycubes_stim87_3_3_2_3.obj	ordered	True	500	-0.2811429798603058	0.2883168160915375	-0.1265986561775207
sub-02	1	3	8	97	11	training_only	active_vis	late	60	0	180	0	180	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim97_2_3_2_4.obj	polycubes_stim97_2_3_2_4.obj	ordered	True	500	0.9122020602226256	-0.1746038645505905	-0.6652748584747314
sub-02	1	3	9	6	12	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim6_2_4_3_3.obj	polycubes_stim6_2_4_3_3.obj	ordered	True	500	-1.0293941497802734	0.7669797539710999	-0.05527925491333
sub-02	1	3	10	155	12	trained_shared	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	True	500	0.289680004119873	0.2557510435581207	-0.651366651058197
sub-02	1	3	11	91	11	training_only	active_vis	late	60	190	10	150	160	same	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim91_3_3_2_3.obj	polycubes_stim91_3_3_2_3.obj	ordered	True	500	-0.5281824469566345	0.1271707564592361	0.3483358323574066
sub-02	1	3	12	125	11	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim125_2_3_2_4.obj	polycubes_stim125_2_3_2_4.obj	ordered	True	500	0.3548299074172973	-0.284124344587326	0.0469826459884643
sub-02	1	3	13	43	10	training_only	active_vis	late	60	140	320	100	60	mirror	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim43_2_3_3_2.obj	polycubes_stim43_2_3_3_2.obj	ordered	True	500	0.3472586870193481	-0.3232878148555755	0.1099393889307975
sub-02	1	3	14	152	12	trained_shared	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim152_2_4_4_2.obj	polycubes_stim152_2_4_4_2.obj	ordered	True	500	-0.4111423790454864	-0.1400900483131408	0.6092597246170044
sub-02	1	3	15	10	11	training_only	active_vis	late	60	90	270	50	320	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim10_4_3_2_2.obj	polycubes_stim10_4_3_2_2.obj	ordered	True	500	0.7196640968322754	-0.1976436674594879	-0.4401537179946899
