sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-03	1	4	1	122	12	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim122_4_2_4_2.obj	polycubes_stim122_4_2_4_2.obj	ordered	True	500	0.3069212734699249	0.0406883247196674	-0.3644632697105407
sub-03	1	4	2	47	10	trained	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim047_3_2_3_2.obj	polycubes_stim047_3_2_3_2.obj	ordered	True	500	-0.1685122549533844	-0.1653514802455902	0.4023546278476715
sub-03	1	4	3	88	11	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim088_4_2_2_3.obj	polycubes_stim088_4_2_2_3.obj	ordered	True	500	-0.1998616009950637	0.0055743181146681	0.1919783353805542
sub-03	1	4	4	187	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim187_2_4_2_4.obj	polycubes_stim187_2_4_2_4.obj	ordered	True	500	-0.0066727846860885	0.2543078064918518	-0.3529728651046753
sub-03	1	4	5	210	11	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim210_2_3_3_3.obj	polycubes_stim210_2_3_3_3.obj	ordered	True	500	0.0803716778755188	-0.6903956532478333	0.8959954977035522
sub-03	1	4	6	17	10	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim017_2_3_3_2.obj	polycubes_stim017_2_3_3_2.obj	ordered	True	500	0.1207334697246551	-0.0313727967441082	-0.0763656347990036
sub-03	1	4	7	186	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-03	1	4	8	149	12	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim149_2_4_4_2.obj	polycubes_stim149_2_4_4_2.obj	ordered	True	500	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-03	1	4	9	192	12	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim192_4_4_2_2.obj	polycubes_stim192_4_4_2_2.obj	ordered	True	500	-0.5281376838684082	0.5874032974243164	-0.3025761544704437
sub-03	1	4	10	206	12	trained	active_vis	late	60	140	320	100	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
sub-03	1	4	11	208	12	trained	active_vis	late	60	90	270	50	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim208_2_4_2_4.obj	polycubes_stim208_2_4_2_4.obj	ordered	True	500	-0.1090655624866485	0.848214864730835	-1.0904916524887085
