sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-99	3	1	1	84	10	trained	passive	none	0	0	0	310	50	-50	-1	same	3000	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim084_3_3_2_2.obj	polycubes_stim084_3_3_2_2.obj	ordered	True	500	0.5261316299438477	-0.0785209983587265	-0.4150861799716949
sub-99	3	1	2	48	9	trained	passive	none	0	0	0	260	100	-100	-1	mirror	3000	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim048_2_2_3_2.obj	polycubes_stim048_2_2_3_2.obj	ordered	True	500	0.4931648075580597	-0.5191960334777832	0.2410894185304641
sub-99	3	1	3	118	12	novel_4	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim118_4_2_2_4.obj	polycubes_stim118_4_2_2_4.obj	ordered	True	500	-0.7770999670028687	0.3892782330513	0.2265773117542266
sub-99	3	1	4	206	12	trained	passive	none	0	0	0	210	150	-150	-1	same	3000	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
sub-99	3	1	5	27	11	trained	passive	none	0	0	0	50	50	50	1	same	3000	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim027_2_4_3_2.obj	polycubes_stim027_2_4_3_2.obj	ordered	True	500	-0.1286996304988861	-0.4534026086330414	0.7699078917503357
sub-99	3	1	6	167	12	novel_4	passive	none	0	0	0	50	50	50	1	mirror	3000	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim167_4_4_2_2.obj	polycubes_stim167_4_4_2_2.obj	ordered	True	500	-0.051373466849327	-0.1499683856964111	0.2634608149528503
sub-99	3	1	7	50	10	trained	passive	none	0	0	0	150	150	150	1	same	3000	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim050_2_2_2_4.obj	polycubes_stim050_2_2_2_4.obj	ordered	True	500	-0.2310848236083984	-0.0302162207663059	0.2738170325756073
sub-99	3	1	8	178	12	trained	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim178_2_2_4_4.obj	polycubes_stim178_2_2_4_4.obj	ordered	True	500	0.3179397881031036	0.5495432615280151	-1.0951114892959597
sub-99	3	1	9	78	9	trained	passive	none	0	0	0	100	100	100	1	same	3000	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim078_2_3_2_2.obj	polycubes_stim078_2_3_2_2.obj	ordered	True	500	0.579243540763855	-0.4409858584403991	0.0444046854972839
sub-99	3	1	10	30	10	novel_4	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim030_2_2_4_2.obj	polycubes_stim030_2_2_4_2.obj	ordered	True	500	0.1242406293749809	-0.3326935768127441	0.3462592363357544
sub-99	3	1	11	62	10	novel_4	passive	none	0	0	0	100	100	100	1	same	3000	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim062_2_4_2_2.obj	polycubes_stim062_2_4_2_2.obj	ordered	True	500	0.188808798789978	-0.0553459823131561	-0.1105377525091171
sub-99	3	1	12	149	12	novel_4	passive	none	0	0	0	150	150	150	1	mirror	3000	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim149_2_4_4_2.obj	polycubes_stim149_2_4_4_2.obj	ordered	True	500	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-99	3	1	13	39	11	novel_4	passive	none	0	0	0	210	150	-150	-1	mirror	3000	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim039_3_3_3_2.obj	polycubes_stim039_3_3_3_2.obj	ordered	True	500	0.3556030392646789	-0.03061537258327	-0.3123063743114471
sub-99	3	1	14	79	11	trained	passive	none	0	0	0	310	50	-50	-1	mirror	3000	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim079_3_3_2_3.obj	polycubes_stim079_3_3_2_3.obj	ordered	True	500	0.473305881023407	-0.3887032866477966	0.0764036774635315
sub-99	3	1	15	78	9	trained	passive	none	0	0	0	150	150	150	1	same	3000	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim078_2_3_2_2.obj	polycubes_stim078_2_3_2_2.obj	ordered	True	500	0.579243540763855	-0.4409858584403991	0.0444046854972839
sub-99	3	1	16	27	11	trained	passive	none	0	0	0	150	150	150	1	mirror	3000	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim027_2_4_3_2.obj	polycubes_stim027_2_4_3_2.obj	ordered	True	500	-0.1286996304988861	-0.4534026086330414	0.7699078917503357
sub-99	3	1	17	132	12	novel_4	passive	none	0	0	0	260	100	-100	-1	same	3000	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim132_3_2_3_4.obj	polycubes_stim132_3_2_3_4.obj	ordered	True	500	0.6378264427185059	-0.572300374507904	0.1715286374092102
sub-99	3	1	18	2	9	novel_4	passive	none	0	0	0	310	50	-50	-1	same	3000	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim002_2_3_2_2.obj	polycubes_stim002_2_3_2_2.obj	ordered	True	500	-0.4392076432704925	0.2233696281909942	0.1233152151107788
